"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"9","12","11","3","0","0","0","0","0","0","0"
"10","12","4","2","0","0","0","0","0","0","0"
"11","12","2","1","0","0","0","0","0","1","0"
"12","12","1","0","0","0","0","0","0","0","0"
"13","12","10","2","1","0","0","0","0","0","0"
"14","12","6","3","0","0","0","0","0","0","0"
"15","12","5","0","0","0","0","0","0","0","0"
"16","12","4","1","0","0","0","0","1","0","0"
"17","12","3","1","0","0","0","0","0","0","0"
"18","12","8","1","0","0","0","0","0","0","0"
"19","12","4","1","0","0","0","0","0","0","0"
"20","12","5","2","0","0","0","0","0","0","0"
"21","12","10","0","3","0","0","0","0","0","0"
"22","12","6","2","0","0","0","0","1","0","0"
"23","12","6","30","0","0","0","0","0","0","0"
"24","12","6","1","0","0","0","0","0","0","0"
"26","12","8","4","0","0","0","0","1","0","0"
"27","12","9","0","1","0","0","0","0","0","0"
"1","11","3","1","0","0","0","0","1","0","0"
"2","11","8","3","0","0","0","0","0","0","0"
"3","11","10","0","1","0","0","0","0","0","0"
"4","11","6","0","0","0","0","0","1","0","0"
"8","11","7","3","0","0","0","0","0","0","0"
"9","11","2","0","0","0","0","0","0","0","0"
"10","11","4","2","0","0","0","0","0","0","0"
"11","11","6","3","0","0","0","0","0","0","0"
"12","11","1","0","0","0","0","0","0","0","0"
"13","11","5","1","0","0","0","0","0","0","0"
"14","11","4","1","0","0","0","0","0","0","0"
"15","11","7","3","0","0","0","0","0","0","0"
"16","11","9","0","1","0","0","0","0","0","0"
"17","11","2","0","0","0","0","0","0","0","0"
"18","11","9","2","0","0","0","0","0","0","0"
"19","11","4","2","0","0","0","0","1","0","0"
"20","11","4","0","0","0","0","0","0","0","0"
"21","11","6","1","0","0","0","0","0","0","0"
"22","11","5","0","0","0","0","0","0","0","0"
